state_name,week,num_accidents
North Carolina,32,18
North Carolina,33,26
North Carolina,34,19
North Carolina,35,31
North Carolina,36,26
North Carolina,37,34
North Carolina,38,27
North Carolina,39,27
North Carolina,40,17
North Carolina,41,26
North Carolina,42,24
North Carolina,43,23
North Carolina,44,31
North Carolina,45,19
North Carolina,46,26
North Carolina,47,25
North Carolina,48,40
North Carolina,49,27
North Carolina,50,25
North Carolina,51,26
North Carolina,52,8
Ohio,0,9
Ohio,1,19
Ohio,2,25
Ohio,3,14
Ohio,4,13
Ohio,5,12
Ohio,6,21
Ohio,7,20
Ohio,8,13
Ohio,9,12
Ohio,10,12
Ohio,11,11
Ohio,12,11
Ohio,13,10
Ohio,14,10
Ohio,15,20
Ohio,16,17
Ohio,17,13
Ohio,18,23
Ohio,19,23
Ohio,20,22
Ohio,21,27
Ohio,22,21
Ohio,23,25
Ohio,24,17
Ohio,25,23
Ohio,26,15
Ohio,27,16
Ohio,28,27
Ohio,29,23
Ohio,30,25
Ohio,31,29
Ohio,32,35
Ohio,33,29
Ohio,34,30
Ohio,35,19
Ohio,36,18
Ohio,37,24
Ohio,38,18
Ohio,39,32
Ohio,40,17
Ohio,41,23
Ohio,42,26
Ohio,43,20
Ohio,44,26
Ohio,45,18
Ohio,46,17
Ohio,47,10
Ohio,48,14
Ohio,49,24
Ohio,50,20
Ohio,51,18
Ohio,52,13
Pennsylvania,0,12
Pennsylvania,1,16
Pennsylvania,2,17
Pennsylvania,3,22
Pennsylvania,4,10
Pennsylvania,5,13
Pennsylvania,6,21
Pennsylvania,7,20
Pennsylvania,8,14
Pennsylvania,9,17
Pennsylvania,10,14
Pennsylvania,11,16
Pennsylvania,12,18
Pennsylvania,13,15
Pennsylvania,14,16
Pennsylvania,15,23
Pennsylvania,16,11
Pennsylvania,17,19
Pennsylvania,18,31
Pennsylvania,19,18
Pennsylvania,20,20
Pennsylvania,21,32
Pennsylvania,22,16
Pennsylvania,23,27
Pennsylvania,24,15
Pennsylvania,25,20
Pennsylvania,26,28
Pennsylvania,27,28
Pennsylvania,28,20
Pennsylvania,29,25
Pennsylvania,30,27
Pennsylvania,31,24
Pennsylvania,32,30
Pennsylvania,33,21
Pennsylvania,34,21
Pennsylvania,35,24
Pennsylvania,36,19
Pennsylvania,37,26
Pennsylvania,38,28
Pennsylvania,39,20
Pennsylvania,40,26
Pennsylvania,41,26
Pennsylvania,42,21
Pennsylvania,43,22
Pennsylvania,44,26
Pennsylvania,45,25
Pennsylvania,46,28
Pennsylvania,47,20
Pennsylvania,48,20
Pennsylvania,49,24
Pennsylvania,50,25
Pennsylvania,51,15
Pennsylvania,52,10
South Carolina,0,8
South Carolina,1,19
South Carolina,2,12
South Carolina,3,10
South Carolina,4,20
South Carolina,5,23
South Carolina,6,18
South Carolina,7,11
South Carolina,8,8
South Carolina,9,19
South Carolina,10,16
South Carolina,11,21
South Carolina,12,18
South Carolina,13,17
South Carolina,14,16
South Carolina,15,15
South Carolina,16,18
South Carolina,17,19
South Carolina,18,14
South Carolina,19,17
South Carolina,20,22
South Carolina,21,12
South Carolina,22,12
South Carolina,23,18
South Carolina,24,15
South Carolina,25,21
South Carolina,26,21
South Carolina,27,15
South Carolina,28,21
South Carolina,29,22
South Carolina,30,17
South Carolina,31,27
South Carolina,32,14
South Carolina,33,10
South Carolina,34,22
South Carolina,35,14
South Carolina,36,18
South Carolina,37,18
South Carolina,38,15
South Carolina,39,11
South Carolina,40,25
South Carolina,41,26
South Carolina,42,26
South Carolina,43,27
South Carolina,44,24
South Carolina,45,12
South Carolina,46,20
South Carolina,47,14
South Carolina,48,14
South Carolina,49,17
South Carolina,50,18
South Carolina,51,20
South Carolina,52,4
Texas,0,31
Texas,1,46
Texas,2,59
Texas,3,61
Texas,4,50
Texas,5,54
Texas,6,60
Texas,7,53
Texas,8,48
Texas,9,51
Texas,10,54
Texas,11,72
Texas,12,44
Texas,13,73
Texas,14,56
Texas,15,60
Texas,16,56
Texas,17,52
Texas,18,72
Texas,19,58
Texas,20,68
Texas,21,56
Texas,22,57
Texas,23,62
Texas,24,69
Texas,25,63
Texas,26,62
Texas,27,74
Texas,28,72
Texas,29,69
Texas,30,69
Texas,31,59
Texas,32,65
Texas,33,40
Texas,34,54
Texas,35,54
Texas,36,47
Texas,37,63
Texas,38,72
Texas,39,63
Texas,40,78
Texas,41,74
Texas,42,68
Texas,43,67
Texas,44,58
Texas,45,55
Texas,46,72
Texas,47,61
Texas,48,74
Texas,49,73
Texas,50,58
Texas,51,72
Texas,52,32
